@relation train-weka.filters.unsupervised.attribute.NumericToNominal-R52-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute var_0=b numeric
@attribute var_0=a numeric
@attribute var_0=? numeric
@attribute var_1 numeric
@attribute var_2 numeric
@attribute var_3=u numeric
@attribute var_3=y numeric
@attribute var_3=? numeric
@attribute var_3=l numeric
@attribute var_4=g numeric
@attribute var_4=p numeric
@attribute var_4=? numeric
@attribute var_4=gg numeric
@attribute var_5=w numeric
@attribute var_5=q numeric
@attribute var_5=m numeric
@attribute var_5=r numeric
@attribute var_5=cc numeric
@attribute var_5=k numeric
@attribute var_5=c numeric
@attribute var_5=d numeric
@attribute var_5=x numeric
@attribute var_5=i numeric
@attribute var_5=e numeric
@attribute var_5=aa numeric
@attribute var_5=ff numeric
@attribute var_5=j numeric
@attribute var_5=? numeric
@attribute var_6=v numeric
@attribute var_6=h numeric
@attribute var_6=bb numeric
@attribute var_6=ff numeric
@attribute var_6=j numeric
@attribute var_6=z numeric
@attribute var_6=? numeric
@attribute var_6=o numeric
@attribute var_6=dd numeric
@attribute var_6=n numeric
@attribute var_7 numeric
@attribute var_8=t numeric
@attribute var_8=f numeric
@attribute var_9=t numeric
@attribute var_9=f numeric
@attribute var_10 numeric
@attribute var_11=f numeric
@attribute var_11=t numeric
@attribute var_12=g numeric
@attribute var_12=s numeric
@attribute var_12=p numeric
@attribute var_13 numeric
@attribute var_14 numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute NewNumeric7 numeric
@attribute NewNumeric8 numeric
@attribute NewNumeric9 numeric
@attribute label {0,1}

@data
1,0,0,0.133651,0.433036,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.117018,0,1,1,0,0.029851,0,1,1,0,0,0.09,0.00173,0.822878,0.485679,0.181852,0.792528,0.49803,0.714306,0.348382,0.935861,0.844016,0.841264,0
0,1,0,0.034444,0.102679,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.002982,0,1,0,1,0,1,0,1,0,0,0.06,0,0.947235,0.044524,0.663209,0.763025,0.709162,0.991961,0.01864,0.289757,0.977051,0.118545,0
0,1,0,0.09254,0.02375,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.035088,0,1,1,0,0.014925,1,0,1,0,0,1,0.00002,0.890766,0.627783,0.862334,0.656904,0.917808,0.613669,0.811734,0.385143,0.296714,0.353508,0
0,1,0,0.220952,0.072857,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.008772,0,1,0,1,0,0,1,1,0,0,0.09,0.0005,0.709457,0.469429,0.296687,0.554774,0.904824,0.613941,0.251571,0.143791,0.421259,0.881119,0
1,0,0,0.223492,0.035714,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.105263,0,1,0,1,0,1,0,1,0,0,0.088,0.00537,0.144059,0.870278,0.161422,0.745842,0.631245,0.59671,0.078406,0.247472,0.63998,0.606697,0
1,0,0,0.77381,0.455357,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.175439,1,0,0,1,0,1,0,1,0,0,0.056,0,0.309746,0.501341,0.312596,0.390143,0.146346,0.509187,0.2612,0.62559,0.172121,0.832699,0
1,0,0,0.191746,0.458393,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.017544,0,1,0,1,0,1,0,1,0,0,0,0.00002,0.1746,0.553265,0.197727,0.380188,0.5124,0.957961,0.473899,0.386335,0.053826,0.047101,0
1,0,0,0.083333,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.059701,1,0,1,0,0,0.0225,0.00001,0.992053,0.982763,0.607864,0.648335,0.434948,0.787088,0.737379,0.74454,0.674538,0.692336,0
1,0,0,0.333333,0.089286,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.017544,0,1,0,1,0,1,0,1,0,0,0.174,0,0.236473,0.280822,0.326592,0.005287,0.826224,0.342483,0.497605,0.566406,0.697225,0.40718,0
1,0,0,0.130952,0.028214,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.010175,0,1,1,0,0.014925,1,0,1,0,0,0.21,0.00283,0.181843,0.147541,0.384736,0.922533,0.61649,0.007511,0.284473,0.657797,0.262473,0.895967,0
1,0,0,0.185238,0.019286,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.005789,0,1,1,0,0.014925,1,0,1,0,0,0.136,0.00444,0.042219,0.428358,0.473421,0.632876,0.588875,0.528855,0.397139,0.608097,0.663823,0.841137,0
1,0,0,0.111111,0.181607,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.010175,0,1,0,1,0,1,0,1,0,0,0.07,0.00184,0.306557,0.010398,0.41652,0.554452,0.938448,0.317332,0.927904,0.995546,0.525221,0.688225,0
0,1,0,0.040952,0.0075,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.004386,0,1,0,1,0,1,0,1,0,0,0.1,0.00001,0.312197,0.85063,0.515859,0.521642,0.252336,0.15413,0.27135,0.83312,0.361399,0.639252,0
1,0,0,0.24873,0.044643,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.008772,0,1,1,0,0.029851,0,1,1,0,0,0.2,0.00108,0.239113,0.30494,0.134168,0.198466,0.046684,0.548119,0.98729,0.947378,0.974174,0.374217,0
1,0,0,0.43127,0.017857,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.017544,0,1,0,1,0,0,1,1,0,0,0.065,0,0.114984,0.735273,0.41238,0.564256,0.265838,0.754311,0.17984,0.338193,0.663486,0.354511,0
