@relation train-weka.filters.unsupervised.attribute.NumericToNominal-R52-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute var_0=b numeric
@attribute var_0=a numeric
@attribute var_0=? numeric
@attribute var_1 numeric
@attribute var_2 numeric
@attribute var_3=u numeric
@attribute var_3=y numeric
@attribute var_3=? numeric
@attribute var_3=l numeric
@attribute var_4=g numeric
@attribute var_4=p numeric
@attribute var_4=? numeric
@attribute var_4=gg numeric
@attribute var_5=w numeric
@attribute var_5=q numeric
@attribute var_5=m numeric
@attribute var_5=r numeric
@attribute var_5=cc numeric
@attribute var_5=k numeric
@attribute var_5=c numeric
@attribute var_5=d numeric
@attribute var_5=x numeric
@attribute var_5=i numeric
@attribute var_5=e numeric
@attribute var_5=aa numeric
@attribute var_5=ff numeric
@attribute var_5=j numeric
@attribute var_5=? numeric
@attribute var_6=v numeric
@attribute var_6=h numeric
@attribute var_6=bb numeric
@attribute var_6=ff numeric
@attribute var_6=j numeric
@attribute var_6=z numeric
@attribute var_6=? numeric
@attribute var_6=o numeric
@attribute var_6=dd numeric
@attribute var_6=n numeric
@attribute var_7 numeric
@attribute var_8=t numeric
@attribute var_8=f numeric
@attribute var_9=t numeric
@attribute var_9=f numeric
@attribute var_10 numeric
@attribute var_11=f numeric
@attribute var_11=t numeric
@attribute var_12=g numeric
@attribute var_12=s numeric
@attribute var_12=p numeric
@attribute var_13 numeric
@attribute var_14 numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute NewNumeric7 numeric
@attribute NewNumeric8 numeric
@attribute NewNumeric9 numeric
@attribute NewNumeric10 numeric
@attribute NewNumeric11 numeric
@attribute NewNumeric12 numeric
@attribute NewNumeric13 numeric
@attribute NewNumeric14 numeric
@attribute label {0,1}

@data
1,0,0,0.133651,0.433036,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.117018,0,1,1,0,0.029851,0,1,1,0,0,0.09,0.00173,0.612294,0.08623,0.89671,0.37588,0.639821,0.131933,0.69041,0.937544,0.606977,0.247413,0.562609,0.495931,0.2084,0.359547,0.092556,0
0,1,0,0.034444,0.102679,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.002982,0,1,0,1,0,1,0,1,0,0,0.06,0,0.089729,0.59895,0.741827,0.004052,0.644856,0.869287,0.557751,0.815943,0.361293,0.707763,0.491572,0.871613,0.378001,0.530075,0.663227,0
0,1,0,0.09254,0.02375,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.035088,0,1,1,0,0.014925,1,0,1,0,0,1,0.00002,0.178996,0.164688,0.903414,0.522661,0.302068,0.459652,0.672559,0.908598,0.987861,0.946046,0.447429,0.646709,0.911356,0.967072,0.158662,0
0,1,0,0.220952,0.072857,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.008772,0,1,0,1,0,0,1,1,0,0,0.09,0.0005,0.66873,0.799548,0.16556,0.080907,0.261871,0.998119,0.266363,0.445846,0.864778,0.858926,0.825249,0.095163,0.180288,0.645975,0.285461,0
1,0,0,0.223492,0.035714,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.105263,0,1,0,1,0,1,0,1,0,0,0.088,0.00537,0.795303,0.819218,0.393397,0.012145,0.292313,0.022944,0.111419,0.674762,0.599514,0.690671,0.622291,0.658343,0.69552,0.312014,0.642086,0
1,0,0,0.77381,0.455357,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.175439,1,0,0,1,0,1,0,1,0,0,0.056,0,0.795369,0.028095,0.206281,0.3535,0.771876,0.650121,0.144882,0.699875,0.910848,0.66445,0.419421,0.926397,0.804415,0.915593,0.587192,0
1,0,0,0.191746,0.458393,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.017544,0,1,0,1,0,1,0,1,0,0,0,0.00002,0.868325,0.264135,0.074755,0.050259,0.375684,0.13826,0.245702,0.337348,0.711431,0.079384,0.851173,0.447741,0.367248,0.586127,0.564569,0
1,0,0,0.083333,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.059701,1,0,1,0,0,0.0225,0.00001,0.962629,0.915707,0.921667,0.125681,0.696642,0.946204,0.317848,0.496551,0.493773,0.197329,0.425277,0.936637,0.770262,0.082903,0.461958,0
1,0,0,0.333333,0.089286,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.017544,0,1,0,1,0,1,0,1,0,0,0.174,0,0.550146,0.703605,0.500445,0.956804,0.253405,0.528071,0.660379,0.60684,0.154479,0.761192,0.379987,0.370898,0.65893,0.502816,0.874266,0
1,0,0,0.130952,0.028214,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.010175,0,1,1,0,0.014925,1,0,1,0,0,0.21,0.00283,0.339482,0.96527,0.399,0.532214,0.823255,0.652745,0.007602,0.047378,0.057755,0.128223,0.515837,0.766526,0.946862,0.053317,0.325795,0
1,0,0,0.185238,0.019286,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.005789,0,1,1,0,0.014925,1,0,1,0,0,0.136,0.00444,0.315896,0.927434,0.781282,0.609159,0.373029,0.692939,0.934701,0.12708,0.258317,0.58134,0.177786,0.466842,0.918748,0.471848,0.189422,0
1,0,0,0.111111,0.181607,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.010175,0,1,0,1,0,1,0,1,0,0,0.07,0.00184,0.282768,0.404643,0.232594,0.048731,0.537715,0.633619,0.017399,0.07791,0.62612,0.896766,0.447598,0.93663,0.9173,0.081619,0.91512,0
0,1,0,0.040952,0.0075,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.004386,0,1,0,1,0,1,0,1,0,0,0.1,0.00001,0.534125,0.891488,0.852324,0.971934,0.670137,0.93387,0.823221,0.40736,0.394016,0.323864,0.461042,0.838094,0.686514,0.819802,0.007281,0
1,0,0,0.24873,0.044643,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.008772,0,1,1,0,0.029851,0,1,1,0,0,0.2,0.00108,0.564484,0.756385,0.364922,0.655231,0.553918,0.970232,0.478771,0.641882,0.6876,0.657571,0.787776,0.026315,0.051835,0.845639,0.286661,0
1,0,0,0.43127,0.017857,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.017544,0,1,0,1,0,0,1,1,0,0,0.065,0,0.127013,0.616549,0.586754,0.2371,0.659159,0.870671,0.450604,0.664849,0.915077,0.372698,0.712179,0.168663,0.543775,0.418332,0.402555,0
1,0,0,0.238095,0.053571,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.052632,1,0,0,1,0,0,1,1,0,0,0,0.00225,0.455474,0.57713,0.629507,0.732202,0.852105,0.60518,0.062135,0.245756,0.384245,0.146514,0.381496,0.639691,0.223166,0.267737,0.460064,0
1,0,0,0.337302,0.120536,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.290877,0,1,0,1,0,0,1,1,0,0,0,0,0.506823,0.162699,0.884577,0.274988,0.303023,0.782381,0.17347,0.888107,0.401065,0.294478,0.278481,0.05334,0.387217,0.485209,0.555519,0
1,0,0,0.263175,0.017857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.002982,0,1,0,1,0,0,1,0,1,0,0.126,0,0.947163,0.428825,0.000286,0.392394,0.010372,0.610367,0.770568,0.270771,0.788384,0.357496,0.64049,0.543821,0.233589,0.428409,0.944425,0
0,1,0,0.086032,0.020893,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.020526,1,0,0,1,0,0,1,1,0,0,0.08,0,0.172412,0.906222,0.911617,0.667733,0.221782,0.241834,0.003414,0.548852,0.534807,0.000401,0.621986,0.993283,0.735637,0.692511,0.103597,0
1,0,0,0.15873,0.428571,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.073158,0,1,0,1,0,1,0,0,1,0,0.04,0,0.978521,0.429074,0.637454,0.779411,0.796391,0.205044,0.739137,0.600929,0.169735,0.734858,0.274034,0.617148,0.274564,0.947548,0.560311,0
