@relation train-weka.filters.unsupervised.attribute.NumericToNominal-R52-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute var_0=b numeric
@attribute var_0=a numeric
@attribute var_0=? numeric
@attribute var_1 numeric
@attribute var_2 numeric
@attribute var_3=u numeric
@attribute var_3=y numeric
@attribute var_3=? numeric
@attribute var_3=l numeric
@attribute var_4=g numeric
@attribute var_4=p numeric
@attribute var_4=? numeric
@attribute var_4=gg numeric
@attribute var_5=w numeric
@attribute var_5=q numeric
@attribute var_5=m numeric
@attribute var_5=r numeric
@attribute var_5=cc numeric
@attribute var_5=k numeric
@attribute var_5=c numeric
@attribute var_5=d numeric
@attribute var_5=x numeric
@attribute var_5=i numeric
@attribute var_5=e numeric
@attribute var_5=aa numeric
@attribute var_5=ff numeric
@attribute var_5=j numeric
@attribute var_5=? numeric
@attribute var_6=v numeric
@attribute var_6=h numeric
@attribute var_6=bb numeric
@attribute var_6=ff numeric
@attribute var_6=j numeric
@attribute var_6=z numeric
@attribute var_6=? numeric
@attribute var_6=o numeric
@attribute var_6=dd numeric
@attribute var_6=n numeric
@attribute var_7 numeric
@attribute var_8=t numeric
@attribute var_8=f numeric
@attribute var_9=t numeric
@attribute var_9=f numeric
@attribute var_10 numeric
@attribute var_11=f numeric
@attribute var_11=t numeric
@attribute var_12=g numeric
@attribute var_12=s numeric
@attribute var_12=p numeric
@attribute var_13 numeric
@attribute var_14 numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute NewNumeric7 numeric
@attribute NewNumeric8 numeric
@attribute NewNumeric9 numeric
@attribute NewNumeric10 numeric
@attribute NewNumeric11 numeric
@attribute NewNumeric12 numeric
@attribute NewNumeric13 numeric
@attribute NewNumeric14 numeric
@attribute NewNumeric15 numeric
@attribute NewNumeric16 numeric
@attribute NewNumeric17 numeric
@attribute NewNumeric18 numeric
@attribute NewNumeric19 numeric
@attribute NewNumeric20 numeric
@attribute NewNumeric21 numeric
@attribute NewNumeric22 numeric
@attribute NewNumeric23 numeric
@attribute NewNumeric24 numeric
@attribute NewNumeric25 numeric
@attribute label {0,1}

@data
1,0,0,0.133651,0.433036,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.117018,0,1,1,0,0.029851,0,1,1,0,0,0.09,0.00173,0.872928,0.334841,0.069682,0.005117,0.652087,0.48309,0.058224,0.243377,0.24877,0.149491,0.148546,0.486973,0.165692,0.595163,0.011641,0.534266,0.490154,0.176529,0.679027,0.994301,0.123514,0.068076,0.847861,0.435866,0.394171,0.629541,0
0,1,0,0.034444,0.102679,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.002982,0,1,0,1,0,1,0,1,0,0,0.06,0,0.704399,0.337366,0.352718,0.366942,0.821003,0.843842,0.493789,0.328409,0.544158,0.820244,0.773543,0.509252,0.794996,0.968767,0.944776,0.228596,0.585267,0.722056,0.002807,0.955288,0.30241,0.974614,0.125131,0.68046,0.65207,0.673385,0
0,1,0,0.09254,0.02375,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.035088,0,1,1,0,0.014925,1,0,1,0,0,1,0.00002,0.198542,0.675212,0.75995,0.622338,0.153105,0.448225,0.629686,0.942241,0.299925,0.111078,0.80376,0.257819,0.50871,0.612536,0.737233,0.941411,0.181517,0.007834,0.330236,0.791384,0.320929,0.955112,0.976349,0.200612,0.888251,0.173688,0
0,1,0,0.220952,0.072857,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.008772,0,1,0,1,0,0,1,1,0,0,0.09,0.0005,0.995811,0.040556,0.816883,0.647101,0.043194,0.490464,0.859995,0.971258,0.868706,0.158858,0.931252,0.878345,0.131573,0.465727,0.125583,0.016447,0.11758,0.340625,0.975222,0.772865,0.253266,0.571431,0.487152,0.784431,0.311538,0.109469,0
1,0,0,0.223492,0.035714,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.105263,0,1,0,1,0,1,0,1,0,0,0.088,0.00537,0.550329,0.747976,0.585195,0.371202,0.449016,0.517175,0.921375,0.942341,0.700596,0.61995,0.754495,0.890368,0.546299,0.095128,0.692289,0.044453,0.461221,0.065687,0.27923,0.705688,0.750011,0.910807,0.75285,0.72765,0.726802,0.097062,0
1,0,0,0.77381,0.455357,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.175439,1,0,0,1,0,1,0,1,0,0,0.056,0,0.55879,0.423624,0.202249,0.154434,0.253761,0.477945,0.989441,0.333881,0.62071,0.837907,0.932846,0.145303,0.27069,0.844912,0.018173,0.649041,0.924504,0.885122,0.375695,0.516518,0.953725,0.260932,0.496878,0.269699,0.925413,0.761509,0
1,0,0,0.191746,0.458393,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.017544,0,1,0,1,0,1,0,1,0,0,0,0.00002,0.14746,0.253805,0.246612,0.630119,0.95267,0.514868,0.060878,0.738136,0.660624,0.222255,0.668954,0.607297,0.995394,0.198123,0.83974,0.867484,0.789648,0.48074,0.52632,0.295949,0.537875,0.666886,0.676759,0.311023,0.247011,0.771807,0
1,0,0,0.083333,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.059701,1,0,1,0,0,0.0225,0.00001,0.243929,0.052952,0.760272,0.311167,0.307196,0.222075,0.977494,0.787813,0.544447,0.036731,0.918628,0.668313,0.99795,0.441507,0.414241,0.371,0.800967,0.532236,0.28765,0.116909,0.206389,0.495201,0.385839,0.395055,0.740917,0.914859,0
1,0,0,0.333333,0.089286,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.017544,0,1,0,1,0,1,0,1,0,0,0.174,0,0.941032,0.059568,0.041039,0.753102,0.456151,0.174107,0.440536,0.157895,0.823417,0.583273,0.698723,0.493107,0.246259,0.90922,0.889742,0.802687,0.712125,0.85194,0.003688,0.466522,0.268216,0.63324,0.633995,0.560525,0.757997,0.759096,0
1,0,0,0.130952,0.028214,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.010175,0,1,1,0,0.014925,1,0,1,0,0,0.21,0.00283,0.024582,0.75607,0.13073,0.517736,0.66008,0.889251,0.023766,0.89243,0.30698,0.978435,0.703777,0.368825,0.645311,0.372759,0.204812,0.956572,0.199846,0.343926,0.816745,0.341966,0.073968,0.621547,0.713032,0.824755,0.271761,0.17447,0
